yearmonth,n,3_month_rolling_average,yoy_change
2016-08-01,2595,,
2016-09-01,8710,,
2016-10-01,4432,5245.666666666667,
2016-11-01,3294,5478.666666666667,
2016-12-01,3162,3629.3333333333335,
2017-01-01,3988,3481.3333333333335,
2017-02-01,3990,3713.3333333333335,
2017-03-01,4940,4306.0,
2017-04-01,4070,4333.333333333333,
2017-05-01,4117,4375.666666666667,
2017-06-01,3917,4034.6666666666665,
2017-07-01,3612,3882.0,
2017-08-01,3883,3804.0,1288.0
2017-09-01,3118,3537.6666666666665,-5592.0
2017-10-01,3355,3452.0,-1077.0
2017-11-01,2984,3152.3333333333335,-310.0
2017-12-01,2933,3090.6666666666665,-229.0
2018-01-01,3498,3138.3333333333335,-490.0
2018-02-01,3724,3385.0,-266.0
2018-03-01,4286,3836.0,-654.0
2018-04-01,3966,3992.0,-104.0
2018-05-01,4014,4088.6666666666665,-103.0
2018-06-01,3639,3873.0,-278.0
2018-07-01,3590,3747.6666666666665,-22.0
2018-08-01,3868,3699.0,-15.0
2018-09-01,3336,3598.0,218.0
2018-10-01,3392,3532.0,37.0
2018-11-01,2977,3235.0,-7.0
2018-12-01,2522,2963.6666666666665,-411.0
2019-01-01,2499,2666.0,-999.0
2019-02-01,4352,3124.3333333333335,628.0
2019-03-01,4475,3775.3333333333335,189.0
2019-04-01,4381,4402.666666666667,415.0
2019-05-01,4456,4437.333333333333,442.0
2019-06-01,4289,4375.333333333333,650.0
2019-07-01,4143,4296.0,553.0
2019-08-01,4021,4151.0,153.0
2019-09-01,4012,4058.6666666666665,676.0
2019-10-01,3617,3883.3333333333335,225.0
2019-11-01,3234,3621.0,257.0
2019-12-01,3144,3331.6666666666665,622.0
2020-01-01,3860,3412.6666666666665,1361.0
2020-02-01,4106,3703.3333333333335,-246.0
2020-03-01,3313,3759.6666666666665,-1162.0
2020-04-01,1820,3079.6666666666665,-2561.0
2020-05-01,3056,2729.6666666666665,-1400.0
2020-06-01,4179,3018.3333333333335,-110.0
2020-07-01,4426,3887.0,283.0
2020-08-01,4734,4446.333333333333,713.0
2020-09-01,4335,4498.333333333333,323.0
2020-10-01,4188,4419.0,571.0
2020-11-01,3482,4001.6666666666665,248.0
2020-12-01,3901,3857.0,757.0
2021-01-01,4324,3902.3333333333335,464.0
2021-02-01,4542,4255.666666666667,436.0
2021-03-01,5664,4843.333333333333,2351.0
2021-04-01,5259,5155.0,3439.0
2021-05-01,5028,5317.0,1972.0
2021-06-01,5013,5100.0,834.0
2021-07-01,4571,4870.666666666667,145.0
2021-08-01,4794,4792.666666666667,60.0
2021-09-01,4079,4481.333333333333,-256.0
2021-10-01,3944,4272.333333333333,-244.0
2021-11-01,3661,3894.6666666666665,179.0
2021-12-01,3843,3816.0,-58.0
2022-01-01,4234,3912.6666666666665,-90.0
2022-02-01,4448,4175.0,-94.0
2022-03-01,5458,4713.333333333333,-206.0
2022-04-01,4875,4927.0,-384.0
2022-05-01,5414,5249.0,386.0
2022-06-01,5010,5099.666666666667,-3.0
2022-07-01,4699,5041.0,128.0
2022-08-01,1456,3721.6666666666665,-3338.0
2022-09-01,311,2155.3333333333335,-3768.0
